1;cat;{"title":"cat", "genTitle":"cat", "female":"", "male":"", "otherTitles":"", "young":"kitten", "genYoung":"kitten", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"purrs and mews"}
2;dog;{"title":"dog", "genTitle":"dog", "female":"dog", "male":"", "otherTitles":"", "young":"puppy", "genYoung":"puppy", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"works as a house guard"}
3;mouse;{"title":"mouse", "genTitle":"mouse", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"is afraid of cats"}
4;rat;{"title":"rat", "genTitle":"rat", "female":"rat", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
5;cow;{"title":"cow", "genTitle":"cow", "female":"cow", "male":"bull", "otherTitles":"", "young":"calf", "genYoung":"calf", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"yes", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":"says moo and gives people milk"}
6;sheep;{"title":"sheep", "genTitle":"sheep", "female":"sheep", "male":"ram", "otherTitles":"", "young":"lamb", "genYoung":"lamb", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"yes", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":"says baa and gives people wool"}
7;goat;{"title":"goat", "genTitle":"goat", "female":"goat", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"yes", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":""}
8;pig;{"title":"pig", "genTitle":"pig", "female":"pig", "male":"", "otherTitles":"", "young":"piggy", "genYoung":"piggy", "savagery":"domestic", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"yes", "penny":"yes", "trunk":"", "tusks":"", "employment":""}
9;horse;{"title":"horse", "genTitle":"horse", "female":"horse", "male":"horse", "otherTitles":"", "young":"colt", "genYoung":"colt", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":"carries people on his back"}
10;chicken, hen;{"title":"chicken", "genTitle":"hen", "female":"hen", "male":"", "otherTitles":"", "young":"chick", "genYoung":"chick", "savagery":"domestic", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"clucks and lays eggs"}
11;turkey;{"title":"turkey", "genTitle":"turkey", "female":"", "male":"", "otherTitles":"", "young":"turkey", "genYoung":"", "savagery":"domestic", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
12;goose;{"title":"goose", "genTitle":"goose", "female":"", "male":"", "otherTitles":"", "young":"gosling", "genYoung":"gosling", "savagery":"domestic", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"gabbles and swims in the water"}
13;cockroach;{"title":"cockroach", "genTitle":"cockroach", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"insect", "numExtremities":"6", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
14;worm;{"title":"worm", "genTitle":"worm", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"", "numExtremities":"", "extremities":"", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
15;mosquito;{"title":"mosquito", "genTitle":"mosquito", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"insect", "numExtremities":"6", "extremities":"legs", "coating":"", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"drinks human blood"}
16;spider;{"title":"spider", "genTitle":"spider", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"", "numExtremities":"8", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"weaves a cobweb"}
17;bee;{"title":"bee", "genTitle":"bee", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"insect", "numExtremities":"6", "extremities":"legs", "coating":"", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"makes honey"}
18;wasp;{"title":"wasp", "genTitle":"wasp", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"insect", "numExtremities":"6", "extremities":"legs", "coating":"", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"stings"}
19;butterfly;{"title":"butterfly", "genTitle":"butterfly", "female":"butterfly", "male":"", "otherTitles":"", "young":"caterpillar", "genYoung":"caterpillar", "savagery":"", "class":"insect", "numExtremities":"", "extremities":"", "coating":"", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
20;rabbit;{"title":"rabbit", "genTitle":"rabbit", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
21;hamster;{"title":"hamster", "genTitle":"hamster", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
22;chinchilla;{"title":"chinchilla", "genTitle":"chinchilla", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
23;turtle;{"title":"turtle", "genTitle":"turtle", "female":"turtle", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"", "numExtremities":"4", "extremities":"legs", "coating":"carapace", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"wears a carapace"}
24;hare;{"title":"hare", "genTitle":"hare", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
25;wolf;{"title":"wolf", "genTitle":"wolf", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"Wolf cub", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
26;fox;{"title":"fox", "genTitle":"fox", "female":"fox", "male":"foxes", "otherTitles":"", "young":"fox", "genYoung":"fox", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
27;bear;{"title":"bear", "genTitle":"bear", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"lives in a den in the wood"}
28;Elk;{"title":"elk", "genTitle":"elk", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":""}
29;badger;{"title":"badger", "genTitle":"badger", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
30;squirrel;{"title":"squirrel", "genTitle":"squirrel", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
31;tiger;{"title":"tiger", "genTitle":"tiger", "female":"tigress", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"wears a beautiful striped skin"}
32;lion;{"title":"lion", "genTitle":"lion", "female":"lioness", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"paws", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
33;elephant;{"title":"elephant", "genTitle":"elephant", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"leather", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"yes", "tusks":"yes", "employment":"uses his trunk to move heavy loads"}
34;antelope;{"title":"antelope", "genTitle":"antelope", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"yes", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":""}
35;ostrich;{"title":"ostrich", "genTitle":"ostrich", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"hides his head in the sand"}
36;eagle;{"title":"eagle", "genTitle":"eagle", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"Eaglet", "savagery":"wild", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
37;crow;{"title":"crow", "genTitle":"crow", "female":"crow", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"bird", "numExtremities":"2", "extremities":"legs", "coating":"feathers", "wings":"yes", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"crows loudly"}
38;possum;{"title":"possum", "genTitle":"possum", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":""}
39;giraffe;{"title":"giraffe", "genTitle":"giraffe", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"yes", "hoof":"yes", "penny":"", "trunk":"", "tusks":"", "employment":"has a very long neck"}
40;kangaroo;{"title":"kangaroo", "genTitle":"kangaroo", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"kangaroo", "savagery":"wild", "class":"mammal", "numExtremities":"2", "extremities":"legs", "coating":"fur", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"carries her young in her pouch"}
41;snake;{"title":"snake", "genTitle":"snake", "female":"snake", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"", "numExtremities":"", "extremities":"", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
42;perch;{"title":"perch", "genTitle":"perch", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"a fish", "numExtremities":"", "extremities":"", "coating":"scales", "wings":"", "fins":"yes", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
43;dolphin;{"title":"dolphin", "genTitle":"dolphin", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"", "extremities":"", "coating":"", "wings":"", "fins":"yes", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
44;whale;{"title":"whale", "genTitle":"whale", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"", "numExtremities":"", "extremities":"", "coating":"", "wings":"", "fins":"yes", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
45;tuna;{"title":"tuna", "genTitle":"tuna", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"", "class":"fish", "numExtremities":"", "extremities":"", "coating":"scales", "wings":"", "fins":"yes", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
46;frog;{"title":"frog", "genTitle":"frog", "female":"", "male":"", "otherTitles":"", "young":"tadpole", "genYoung":"tadpole", "savagery":"wild", "class":"", "numExtremities":"4", "extremities":"legs", "coating":"", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":"croaks and lives in a pond"}
47;salmon;{"title":"salmon", "genTitle":"salmon", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"fish", "numExtremities":"", "extremities":"legs", "coating":"scales", "wings":"", "fins":"yes", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}
48;hedgehog;{"title":"hedgehog", "genTitle":"hedgehog", "female":"", "male":"", "otherTitles":"", "young":"", "genYoung":"", "savagery":"wild", "class":"mammal", "numExtremities":"4", "extremities":"legs", "coating":"spines", "wings":"", "fins":"", "horns":"", "hoof":"", "penny":"", "trunk":"", "tusks":"", "employment":""}