1;Trance;{"title":"Trance"}
2;Rock;{"title":"Rock"}
3;Dance;{"title":"Dance"}
4;Talk & Speech;{"title":"Talk & Speech"}
5;Pop;{"title":"Pop"}
6;Harddance;{"title":"Harddance"}
7;Hard Rock;{"title":"Hard Rock"}
8;Reggae;{"title":"Reggae"}
9;Rap;{"title":"Rap"}
10;Classical, classic;{"title":"Classical"}
11;Jazz;{"title":"Jazz"}
12;Electronic;{"title":"Electronic"}
13;Hardstyle;{"title":"Hardstyle"}
14;Normal Rock;{"title":"Normal Rock"}
15;Top 40;{"title":"Top 40"}
16;Classic Rock;{"title":"Classic Rock"}
17;Modern Rock;{"title":"Modern Rock"}
18;Hip Hop;{"title":"Hip Hop"}
19;News;{"title":"News"}
20;Schlager;{"title":"Schlager"}
21;House;{"title":"House"}
22;Baroque;{"title":"Baroque"}
23;Mainstream Jazz;{"title":"Mainstream Jazz"}
24;Classical period music;{"title":"Classical period music"}
25;Roots Reggae;{"title":"Roots Reggae"}
26;Lovers rock;{"title":"Lovers rock"}
27;Classic reggae;{"title":"Classic reggae"}
28;Politic;{"title":"Politic"}
29;Conspiracy;{"title":"Conspiracy"}
30;JPOP;{"title":"JPOP"}
31;Singer & Songwriter;{"title":"Singer & Songwriter"}
32;R&B/Urban;{"title":"R&B/Urban"}
33;Classic R&B;{"title":"Classic R&B"}
34;Motown;{"title":"Motown"}
35;Funk;{"title":"Funk"}
36;Soul;{"title":"Soul"}
37;Light Rock;{"title":"Light Rock"}
38;Decades;{"title":"Decades"}
39;80s;{"title":"80s"}
40;90s;{"title":"90s"}
41;70s;{"title":"70s"}
42;Misc;{"title":"Misc"}
43;Variety;{"title":"Variety"}
44;Folk;{"title":"Folk"}
45;Electronic Folk;{"title":"Electronic Folk"}
46;Folk Rock;{"title":"Folk Rock"}
47;Country;{"title":"Country"}
48;Bluegrass;{"title":"Bluegrass"}
49;Classic Country;{"title":"Classic Country"}
50;Oldies;{"title":"Oldies"}
51;60s;{"title":"60s"}
52;50s;{"title":"50s"}
53;40s;{"title":"40s"}
54;KPop;{"title":"KPop"}
55;Bubblegum Pop;{"title":"Bubblegum Pop"}
56;Progressive Rock;{"title":"Progressive Rock"}
57;Dancehall;{"title":"Dancehall"}
58;Religion;{"title":"Religion"}
59;International;{"title":"International"}
60;Hindi;{"title":"Hindi"}
61;African;{"title":"African"}
62;Bollywood;{"title":"Bollywood"}
63;Islamic;{"title":"Islamic"}
64;Chinese;{"title":"Chinese"}
65;Hebrew;{"title":"Hebrew"}
66;Ambient;{"title":"Ambient"}
67;Chillstep;{"title":"Chillstep"}
68;Adult Contemporary;{"title":"Adult Contemporary"}
69;Hot Adult Contemporary;{"title":"Hot Adult Contemporary"}
70;Dubstep;{"title":"Dubstep"}
71;Sports;{"title":"Sports"}
72;College;{"title":"College"}
73;Easy Listening;{"title":"Easy Listening"}