0;танцевальный,для вечеринки,для танцев,для танца,веселый,летний,для лета,хороший,радостный,заводной,классный;[2021502402, 706093725, 1950581322, 1902101402, 1280152131, 4503899902, 888375641, 1837832662, 687945565, 2892664506, 2249258602]
1;романтичный,свидание;[1282523285, 1910878662, 2043078724, 1459080625, 4670925524]
2;воркаут,спорт,спортивный,бег,тренировки;[1037649201, 1857061922, 1924357302, 2342269306, 1502822691, 2530699784, 4016014286, 3134406242, 4071649882]
3;хип-хоп,арэнби,эрэнби;[1127445673, 1290756705, 2340968722, 2021626162, 2021225582, 1999466402, 1786922822]
4;рок;[1306931615, 1924357302, 1306978785, 1419215845, 1057779131, 3126664682, 1728093421, 2905701862, 3824185322, 2558770224]
5;поп рок,поп-рок;[1370794195, 841721761]
6;инди,инди-рок,инди рок;[760160361, 51449752, 1228063773]
7;электро,электронная,диско;[2143562442, 1950224742]
8;регги;[2910858722, 1308106915, 1284931815, 3775943522, 3811741742]
9;для детей,детский;[2481083044, 1658894503]
10;джаз,джазовый;[2394170302, 1817110742, 1615514485]
11;саундтрек,саундтрэк,ост,из фильмов,из фильма;[1632136775, 4337653642, 1053293631]
12;чиллаут,чилл,чиллинг,отдых,отпуск,спокойный.успокаивающий,умиротворяющий,умиротворенный,расслабленный,расслабляющий;[3503588922, 2785775004, 1924801622, 1924801622]
13;поп,попсовый;[2098157264, 1963962142, 2021502402]
14;грустный,печальный,дождь,дождливый;[964028035, 1911334042, 955347435, 3801992142]
15;чтение,работа,концентрация,учеба;[1655130801, 1320283135, 1673880511, 2394170302, 1370743525]
16;колыбельная,спать,сон;[1319908867, 1727003083, 1335016357, 1993211702]
17;классика,классический;[1659514051, 836358551, 747148961, 791313621, 1863944982]
18;рок н ролл, рок энд ролл, рок ролл;[735402575, 3844459762, 2277890502]
19;реп, рэп, rap, реппер, рэппер;[1996494362, 3272556622]
20;панк рок, punk rock;[1586906425, 2486904488, 4100359242, 21710223]