дикое животное;дикое животное;{"1":"дикое животное", "2":"млекопитающее", "3":"животное", "4":"живое"}
домашнее животное;домашнее животное;{"1":"домашнее животное", "2":"млекопитающее", "3":"животное", "4":"живое"}
птица;птица;{"2":"птица", "3":"животное", "4":"живое"}
рыба;рыба;{"2":"рыба", "3":"животное", "4":"живое"}
насекомое;насекомое;{"2":"насекомое", "3":"животное", "4":"живое"}
дерево;дерево;{"2":"дерево", "3":"растение", "4":"живое"}
цветок;цветок;{"2":"цветок", "3":"растение", "4":"живое"}
ягода;ягода;{"1":"ягода","2":"плод", "3":"растение", "4":"живое"}
фрукт;фрукт;{"1":"фрукт","2":"плод", "3":"растение", "4":"живое"}
овощ;овощ;{"1":"овощ", "2":"плод", "3":"растение", "4":"живое"}
гриб;гриб;{"2":"гриб", "3":"растение", "4":"живое"}
музыкальный инструмент;музыкальный инструмент;{"2":"музыкальный инструмент", "3":"вещь", "4":"неживое"}
рабочий инструмент;рабочий инструмент;{"2":"рабочий инструмент", "3":"вещь", "4":"неживое"}
кухонная принадлежность;кухонная принадлежность;{"2":"кухонная принадлежность", "3":"вещь", "4":"неживое"}
средство гигиены;средство гигиены;{"2":"средство гигиены", "3":"вещь", "4":"неживое"}
транспорт;транспорт;{"3":"транспорт", "4":"неживое"}