1;транс;{"title":"транс"}
2;рок,рок музыка;{"title":"рок"}
3;танцевальная, танцевальную;{"title":"танцевальная"}
4;разговорное, разговорная, разговорную;{"title":"разговорное"}
5;поп, попса, попсу,поп-музыка,популярная музыка;{"title":"поп"}
8;тяжелый рок;{"title":"тяжелый рок"}
9;рэгги;{"title":"рэгги"}
10;рэп,реп,репчик;{"title":"рэп"}
11;классическая,классическую музыку,классика, классику;{"title":"классическая"}
12;джаз,джазовая музыка,джазовую музыку;{"title":"джаз"}
14;электронная, электронную;{"title":"электронная"}
16;нормальный рок;{"title":"нормальный рок"}
17;топ 40;{"title":"топ 40"}
18;классический рок;{"title":"классический рок"}
19;современный рок;{"title":"современный рок"}
20;хип хоп;{"title":"хип хоп"}
21;новости;{"title":"новости"}
22;шлягеры;{"title":"шлягеры"}
23;хаус;{"title":"хаус"}
25;современный джаз;{"title":"современный джаз"}
27;древний рэгги;{"title":"древний рэгги"}
28;любовный рок;{"title":"любовный рок"}
29;классический рэгги;{"title":"классический рэгги"}
30;политика;{"title":"политика"}
34;урбан;{"title":"урбан"}
37;фанк;{"title":"фанк"}
38;соул;{"title":"соул"}
39;легкий рок;{"title":"легкий рок"}
40;десятилетие;{"title":"десятилетие"}
41;восьмидесятые;{"title":"восьмидесятые"}
42;девяностые;{"title":"девяностые"}
43;семидесятые;{"title":"семидесятые"}
44;разное, разная, разную;{"title":"разное"}
45;разнообразное;{"title":"разнообразное"}
46;фолк;{"title":"фолк"}
47;электронный фолк;{"title":"электронный фолк"}
48;фолк рок;{"title":"фолк рок"}
49;кантри;{"title":"кантри"}
51;классический кантри;{"title":"классический кантри"}
52;старое;{"title":"старое"}
54;шестидесятые;{"title":"шестидесятые"}
55;пятидесятые;{"title":"пятидесятые"}
56;сороковые;{"title":"сороковые"}
59;прогрессивный рок;{"title":"прогрессивный рок"}
60;клубное,клубная,клубную,клубняк;{"title":"клубная"}
61;религиозное,религиозная,религиозную;{"title":"религиозное"}
62;интернациональность,интернациональное,интернациональную;{"title":"интернациональность"}
63;хинди;{"title":"хинди"}
64;африканское,африканская, африканскую;{"title":"африка"}
65;боливуд;{"title":"боливуд"}
66;ислам;{"title":"ислам"}
67;китайское,китайская, китайскую;{"title":"китай"}
68;иврит;{"title":"иврит"}
69;спокойный,успокаивающий,тихий,печальный;{"title":"спокойствие"}
70;чилаут;{"title":"чилаут"}
73;дабстеп;{"title":"дабстеп"}
74;спортивное, спортивную, для бега;{"title":"спортивное"}
75;студенческое, студенческая, студенческую;{"title":"студенческое"}
76;легкий,легкое,легкая,легкую;{"title":"легкое"}
77;блюз;{"title":"блюз"}
78;шансон;{"title":"шансон"}
79;рок-н-ролл,веселый,бодрый,быстрый,рокенрол;{"title":"рок-н-ролл"}
80;восточная,восточная музыка;{"title":"восточная"}